@relation emm-weka.filters.unsupervised.attribute.Remove-R8-32

@attribute C numeric
@attribute coef0 numeric
@attribute gamma numeric
@attribute kernel {poly,sigmoid,rbf}
@attribute tol numeric
@attribute y numeric
@attribute task_id numeric

@data
24364.632986,0.950114,0.234655,poly,0.032494,0.95835,6
94.323153,0.519791,0.029011,rbf,0.001732,0.9719,6
482.307257,0.664017,0.000093,poly,0.000604,0.83945,6
709.481713,0.116351,0.000033,poly,0.000049,0.79185,6
1.663719,-0.626006,0.208726,poly,0.000137,0.95895,6
3266.110033,-0.343698,0.007022,sigmoid,0.001233,0.5802,6
12902.037219,0.62089,0.000099,rbf,0.009607,0.8786,6
148.535239,0.957271,0.086844,rbf,0.000794,0.97655,6
0.036779,-0.066649,5.578543,poly,0.037074,0.95815,6
5581.202846,-0.911205,0.000077,sigmoid,0.000301,0.85465,6
134.31879,0.009921,0.000239,rbf,0.008955,0.84785,6
145.14658,0.3185,0.000149,sigmoid,0.009661,0.826,6
2338.625026,0.91286,0.193545,rbf,0.000055,0.9788,6
1782.635274,-0.595558,0.000068,rbf,0.001709,0.8568,6
0.053711,0.032154,0.006497,poly,0.000137,0.6787,6
16952.996156,0.261061,0.000505,rbf,0.024063,0.94065,6
0.127202,-0.137303,0.0317,rbf,0.072992,0.8395,6
0.169294,0.901555,0.016569,rbf,0.000168,0.81485,6
31055.054963,-0.984178,0.000034,rbf,0.000173,0.8653,6
0.673369,0.321013,1.074388,sigmoid,0.007015,0.04065,6
26.615032,-0.75364,1.626676,sigmoid,0.015241,0.0406,6
408.70803,0.587442,0.022458,sigmoid,0.002039,0.18755,6
3742.493233,0.423486,0.028541,sigmoid,0.001734,0.16305,6
1.151846,0.99215,0.011129,poly,0.010296,0.8154,6
455.358659,-0.175947,0.157054,rbf,0.013798,0.979,6
9.383333,-0.940518,4.16977,sigmoid,0.000432,0.04065,6
25.388841,-0.080167,1.604077,sigmoid,0.00698,0.0405,6
303.215678,-0.497726,3.388702,sigmoid,0.000799,0.0404,6
454.78106,0.355529,0.220956,sigmoid,0.000783,0.0423,6
15.895804,-0.810111,0.000477,sigmoid,0.00001,0.78445,6
64.333085,-0.790564,0.002359,rbf,0.03505,0.9011,6
12.923364,0.405043,0.000059,sigmoid,0.000048,0.66845,6
0.345181,-0.330195,0.216897,poly,0.001495,0.95695,6
231.375472,0.149985,7.203866,sigmoid,0.019764,0.04065,6
1582.507589,-0.065905,0.052624,rbf,0.000845,0.97365,6
64.687682,0.2636,0.017592,poly,0.006786,0.96115,6
0.067221,-0.857989,0.257322,poly,0.000079,0.8237,6
0.199942,0.53842,0.000181,poly,0.000036,0.3775,6
299.31734,0.282264,0.039933,poly,0.000726,0.9593,6
14857.059826,0.11634,7.238576,sigmoid,0.000018,0.04065,6
10.986594,-0.241576,0.776742,rbf,0.000028,0.96855,6
0.627789,0.020883,0.000072,rbf,0.000191,0.4729,6
1.531414,0.634801,0.000765,rbf,0.000147,0.75515,6
0.124479,-0.709184,0.000039,rbf,0.000079,0.29105,6
4.100235,0.250856,1.160019,poly,0.000084,0.95785,6
11.114059,-0.661511,0.000146,sigmoid,0.000084,0.70675,6
1.826762,-0.499471,0.000034,rbf,0.00627,0.48055,6
0.083888,0.688282,0.000097,rbf,0.000023,0.28,6
9401.544988,0.790885,0.978046,sigmoid,0.00016,0.04065,6
3.556945,-0.741511,0.411433,rbf,0.000011,0.97555,6
367.567822,0.158656,0.198704,sigmoid,0.017764,0.05635,6
20864.728857,-0.146721,0.104401,sigmoid,0.000044,0.13555,6
348.466704,-0.970031,0.366667,sigmoid,0.000106,0.04055,6
260.783552,0.268242,0.023861,sigmoid,0.000075,0.19525,6
2.563471,0.248799,1.159103,sigmoid,0.000011,0.0406,6
13.858081,-0.259952,0.210808,rbf,0.000275,0.9785,6
112.918249,-0.110285,0.0001,rbf,0.097847,0.8299,6
142.999199,0.616208,0.000286,rbf,0.000046,0.85155,6
55.301831,0.508665,0.042116,poly,0.010759,0.96135,6
6171.279268,0.845824,0.627374,sigmoid,0.014406,0.0406,6
2.16268,-0.445492,0.572161,sigmoid,0.000401,0.04065,6
0.397941,-0.398168,0.000042,rbf,0.068466,0.349,6
5.536114,0.949239,0.000573,rbf,0.000164,0.79685,6
688.822268,-0.196937,0.006671,rbf,0.000736,0.9638,6
3.776038,0.585411,0.006945,poly,0.000083,0.92955,6
0.038636,-0.010864,0.000153,poly,0.006301,0.11215,6
0.080945,0.377519,0.038076,poly,0.018707,0.8562,6
204.243898,0.236079,0.002121,rbf,0.000223,0.9199,6
206.392884,0.330257,0.000112,poly,0.000029,0.82295,6
15857.074818,0.150092,0.155943,poly,0.0101,0.9584,6
3.22365,-0.705734,0.001768,rbf,0.000249,0.82125,6
607.358524,-0.256374,0.000057,sigmoid,0.072742,0.83535,6
62.316817,-0.878242,0.000055,poly,0.000994,0.7707,6
99.86535,0.694885,0.360577,poly,0.000035,0.9589,6
17704.137088,0.845232,4.662062,rbf,0.000162,0.75475,6
1406.810219,0.154642,0.00158,rbf,0.000444,0.9408,6
54.56024,0.594539,0.002752,poly,0.037683,0.93685,6
22819.624,0.215234,0.114009,rbf,0.000056,0.9776,6
0.091513,0.215662,0.000851,sigmoid,0.001669,0.44755,6
536.689455,0.259091,0.000098,rbf,0.003169,0.85155,6
32.317136,0.317315,0.001101,rbf,0.006424,0.8589,6
4468.385652,0.258178,0.000061,rbf,0.000012,0.8614,6
0.045677,-0.786476,0.008459,rbf,0.000124,0.6773,6
22.258899,0.284341,4.623761,sigmoid,0.000126,0.04065,6
19308.037587,0.464017,0.018319,sigmoid,0.010238,0.20665,6
45.722834,0.000334,0.117253,rbf,0.000295,0.9782,6
5673.46053,-0.020387,0.000086,sigmoid,0.002822,0.8576,6
0.078844,-0.988658,0.006165,rbf,0.000014,0.69595,6
24.09755,-0.035635,0.009925,sigmoid,0.000013,0.33,6
0.04108,-0.003149,0.004514,poly,0.000033,0.53165,6
1.04965,0.810805,0.00037,rbf,0.000035,0.68125,6
0.058596,-0.419794,0.00271,sigmoid,0.001411,0.51055,6
8221.175449,0.514648,0.000154,poly,0.000161,0.88115,6
16414.87587,0.554467,0.046428,sigmoid,0.001645,0.1355,6
1.681624,0.520562,0.070523,rbf,0.016305,0.96355,6
2.974336,0.524286,0.003201,sigmoid,0.000087,0.7656,6
0.220267,0.486235,0.000036,poly,0.025743,0.2717,6
3034.909106,0.381072,0.835028,sigmoid,0.000516,0.04065,6
0.479626,0.940856,0.000106,poly,0.000107,0.4215,6
3.84888,0.524065,0.00004,rbf,0.000835,0.59375,6
0.051456,0.279937,0.054164,poly,0.020974,0.7624,6
2104.673608,-0.954644,0.000602,rbf,0.000023,0.9127,6
10.328628,0.107363,0.000042,sigmoid,0.000178,0.6299,6
12.744246,0.686143,0.000336,poly,0.000357,0.79995,6
42.452025,-0.187011,0.012601,sigmoid,0.000076,0.2682,6
0.216197,-0.70664,0.000187,rbf,0.052901,0.4594,6
6.168088,-0.9304,0.034517,sigmoid,0.064965,0.20395,6
22342.755784,-0.642993,0.000101,rbf,0.000529,0.88525,6
1456.865384,0.054055,0.000338,poly,0.059887,0.5796,6
2.119435,0.770166,0.017751,sigmoid,0.00032,0.33665,6
3495.31623,0.887053,0.001599,sigmoid,0.000112,0.7504,6
4846.062283,-0.091339,0.000281,rbf,0.000437,0.89505,6
33.165461,0.287857,0.005061,sigmoid,0.009117,0.64215,6
0.987127,0.328626,0.034167,sigmoid,0.00094,0.2076,6
1.369492,-0.218217,0.000386,poly,0.018237,0.47365,6
16.939368,-0.546828,0.000448,rbf,0.000021,0.82345,6
118.206186,-0.04327,0.000034,poly,0.000409,0.77875,6
174.097641,0.665062,0.000084,rbf,0.031895,0.8339,6
14.335385,0.441298,0.024599,rbf,0.000046,0.96255,6
7.982496,-0.642198,0.531358,rbf,0.001497,0.97275,6
0.095964,0.557692,0.012443,poly,0.000184,0.7992,6
3.548007,-0.019062,0.092416,poly,0.001941,0.95495,6
0.45202,-0.958495,0.106258,rbf,0.000037,0.95,6
578.340095,0.711113,0.329759,sigmoid,0.046769,0.04065,6
1042.542131,-0.622349,0.000311,poly,0.000034,0.4108,6
0.036783,-0.289672,0.193916,rbf,0.00002,0.8488,6
1454.214991,0.042788,0.004697,poly,0.000095,0.9557,6
273.504234,0.222353,0.036888,sigmoid,0.021995,0.1611,6
2822.917901,-0.523241,0.000056,rbf,0.011518,0.85885,6
0.133745,0.891734,0.000235,rbf,0.000054,0.4381,6
184.858705,0.476977,4.952456,rbf,0.01038,0.726,6
5.130599,0.931917,0.028891,rbf,0.000015,0.9555,6
1.212859,-0.72439,0.253182,rbf,0.000446,0.97405,6
0.203215,-0.786221,0.059605,sigmoid,0.012751,0.1314,6
2634.326543,-0.998354,0.081518,rbf,0.036573,0.9768,6
0.249015,-0.713879,0.000064,rbf,0.042241,0.3477,6
0.702708,0.786226,0.007907,sigmoid,0.000017,0.44805,6
2181.61431,0.076003,2.017632,sigmoid,0.008974,0.04065,6
64.762003,0.056365,0.039732,poly,0.000021,0.96,6
30.596817,0.474613,0.00042,rbf,0.052201,0.83485,6
863.523491,-0.252935,0.012079,poly,0.007673,0.9304,6
49.430967,0.186677,0.005148,rbf,0.000109,0.93135,6
1.725627,-0.343471,0.093423,poly,0.000662,0.85245,6
38.689118,-0.13444,0.000112,sigmoid,0.000197,0.7809,6
0.084396,0.78579,0.000198,sigmoid,0.012164,0.2797,6
0.595116,-0.300323,0.000619,rbf,0.00001,0.6782,6
2007.87767,0.040432,0.000362,sigmoid,0.013492,0.85755,6
1.454397,0.273633,0.000687,sigmoid,0.003549,0.6894,6
3573.27168,0.613583,0.000432,poly,0.000335,0.90905,6
28249.39913,0.699201,0.003499,sigmoid,0.0023,0.6845,6
5.322231,0.656083,0.00272,rbf,0.000303,0.85285,6
1.07792,0.958518,0.063275,rbf,0.010296,0.9535,6
0.073488,-0.262257,0.000049,poly,0.034688,0.26245,6
0.123969,-0.220222,0.786942,sigmoid,0.0444,0.04065,6
0.195332,0.152688,0.001617,sigmoid,0.049235,0.57225,6
143.397206,0.889836,0.000197,sigmoid,0.000045,0.8162,6
63.475289,-0.468156,0.225027,rbf,0.000161,0.9785,6
437.327382,-0.744411,0.230819,poly,0.009315,0.95225,6
546.240633,0.829369,0.000038,rbf,0.011514,0.8393,6
5.254644,0.7094,0.025722,sigmoid,0.000014,0.2684,6
94.20844,0.470169,0.032021,poly,0.000108,0.9599,6
0.24968,0.423689,0.001091,poly,0.002027,0.50355,6
0.041779,0.184766,3.762454,rbf,0.03881,0.2802,6
946.791555,0.95619,0.000726,poly,0.000014,0.88795,6
2863.195893,-0.157744,0.0003,rbf,0.000037,0.8896,6
7497.928544,0.295165,0.000616,rbf,0.036469,0.93465,6
59.848504,0.773134,0.86707,rbf,0.023126,0.9659,6
2.467784,0.418931,4.267583,sigmoid,0.040459,0.0405,6
8.088394,0.007668,0.000368,sigmoid,0.00002,0.7655,6
0.067748,-0.396329,0.000117,rbf,0.090174,0.28085,6
1359.607367,-0.479719,0.000059,rbf,0.000312,0.8537,6
146.209895,-0.018683,0.025194,rbf,0.000122,0.97045,6
4246.226279,0.74106,1.478144,sigmoid,0.00001,0.04065,6
0.136586,-0.832792,0.009577,sigmoid,0.000121,0.61765,6
1832.182102,0.399441,0.002246,poly,0.000302,0.95995,6
